"id","name","code","state_id:id","province_id:id","country_id:id"
"ubigeos_01","AMAZONAS","01",,,"base.pe"
"ubigeos_0101","CHACHAPOYAS","0101","ubigeos_01",,"base.pe"
"ubigeos_010101","CHACHAPOYAS","010101","ubigeos_01","ubigeos_0101","base.pe"
"ubigeos_010102","ASUNCION","010102","ubigeos_01","ubigeos_0101","base.pe"
"ubigeos_010103","BALSAS","010103","ubigeos_01","ubigeos_0101","base.pe"
"ubigeos_010104","CHETO","010104","ubigeos_01","ubigeos_0101","base.pe"
"ubigeos_010105","CHILIQUIN","010105","ubigeos_01","ubigeos_0101","base.pe"
"ubigeos_010106","CHUQUIBAMBA","010106","ubigeos_01","ubigeos_0101","base.pe"
"ubigeos_010107","GRANADA","010107","ubigeos_01","ubigeos_0101","base.pe"
"ubigeos_010108","HUANCAS","010108","ubigeos_01","ubigeos_0101","base.pe"
"ubigeos_010109","LA JALCA","010109","ubigeos_01","ubigeos_0101","base.pe"
"ubigeos_010110","LEIMEBAMBA","010110","ubigeos_01","ubigeos_0101","base.pe"
"ubigeos_010111","LEVANTO","010111","ubigeos_01","ubigeos_0101","base.pe"
"ubigeos_010112","MAGDALENA","010112","ubigeos_01","ubigeos_0101","base.pe"
"ubigeos_010113","MARISCAL CASTILLA","010113","ubigeos_01","ubigeos_0101","base.pe"
"ubigeos_010114","MOLINOPAMPA","010114","ubigeos_01","ubigeos_0101","base.pe"
"ubigeos_010115","MONTEVIDEO","010115","ubigeos_01","ubigeos_0101","base.pe"
"ubigeos_010116","OLLEROS","010116","ubigeos_01","ubigeos_0101","base.pe"
"ubigeos_010117","QUINJALCA","010117","ubigeos_01","ubigeos_0101","base.pe"
"ubigeos_010118","SAN FRANCISCO DE DAGUAS","010118","ubigeos_01","ubigeos_0101","base.pe"
"ubigeos_010119","SAN ISIDRO DE MAINO","010119","ubigeos_01","ubigeos_0101","base.pe"
"ubigeos_010120","SOLOCO","010120","ubigeos_01","ubigeos_0101","base.pe"
"ubigeos_010121","SONCHE","010121","ubigeos_01","ubigeos_0101","base.pe"
"ubigeos_0102","BAGUA","0102","ubigeos_01",,"base.pe"
"ubigeos_010201","BAGUA","010201","ubigeos_01","ubigeos_0102","base.pe"
"ubigeos_010202","ARAMANGO","010202","ubigeos_01","ubigeos_0102","base.pe"
"ubigeos_010203","COPALLIN","010203","ubigeos_01","ubigeos_0102","base.pe"
"ubigeos_010204","EL PARCO","010204","ubigeos_01","ubigeos_0102","base.pe"
"ubigeos_010205","IMAZA","010205","ubigeos_01","ubigeos_0102","base.pe"
"ubigeos_010206","LA PECA","010206","ubigeos_01","ubigeos_0102","base.pe"
"ubigeos_0103","BONGARA","0103","ubigeos_01",,"base.pe"
"ubigeos_010301","JUMBILLA","010301","ubigeos_01","ubigeos_0103","base.pe"
"ubigeos_010302","CHISQUILLA","010302","ubigeos_01","ubigeos_0103","base.pe"
"ubigeos_010303","CHURUJA","010303","ubigeos_01","ubigeos_0103","base.pe"
"ubigeos_010304","COROSHA","010304","ubigeos_01","ubigeos_0103","base.pe"
"ubigeos_010305","CUISPES","010305","ubigeos_01","ubigeos_0103","base.pe"
"ubigeos_010306","FLORIDA","010306","ubigeos_01","ubigeos_0103","base.pe"
"ubigeos_010307","JAZAN","010307","ubigeos_01","ubigeos_0103","base.pe"
"ubigeos_010308","RECTA","010308","ubigeos_01","ubigeos_0103","base.pe"
"ubigeos_010309","SAN CARLOS","010309","ubigeos_01","ubigeos_0103","base.pe"
"ubigeos_010310","SHIPASBAMBA","010310","ubigeos_01","ubigeos_0103","base.pe"
"ubigeos_010311","VALERA","010311","ubigeos_01","ubigeos_0103","base.pe"
"ubigeos_010312","YAMBRASBAMBA","010312","ubigeos_01","ubigeos_0103","base.pe"
"ubigeos_0104","CONDORCANQUI","0104","ubigeos_01",,"base.pe"
"ubigeos_010401","NIEVA","010401","ubigeos_01","ubigeos_0104","base.pe"
"ubigeos_010402","EL CENEPA","010402","ubigeos_01","ubigeos_0104","base.pe"
"ubigeos_010403","RIO SANTIAGO","010403","ubigeos_01","ubigeos_0104","base.pe"
"ubigeos_0105","LUYA","0105","ubigeos_01",,"base.pe"
